2024/06/10 10:59:51.186 => OpenSerial: Com=11 BaudRate=256000, Success=1
2024/06/10 10:59:51.193 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/10 10:59:51.193 => protocol version = 1, send_recv buffer size = 64
2024/06/10 10:59:51.346 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/10 10:59:51.346 => protocol version = 1, send_recv buffer size = 64
2024/06/10 10:59:51.353 => CRadarProtocolDevice::UpdateVersion: CMDID(0x0000) Success
2024/06/10 10:59:51.353 => GetVersion Return: v1.4.4_32772.0
2024/06/10 10:59:52.275 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/10 10:59:52.275 => protocol version = 1, send_recv buffer size = 64
2024/06/10 10:59:52.428 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/10 10:59:52.428 => protocol version = 1, send_recv buffer size = 64
2024/06/10 10:59:52.977 => CRadarProtocolDevice::SendCommand: CMDID(0x0062) Success
2024/06/10 10:59:52.983 => CRadarProtocolDevice::CloseCmdMode: CMDID(0x00FE) Success
2024/06/10 10:59:52.989 => thread create success, thread handle=0x00000614, id=13692, name=ABDData
2024/06/10 10:59:52.989 => thread information, name=ABDData, tid=13692(0x0000357c)
2024/06/10 10:59:53.025 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:53.125 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:53.225 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:53.326 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:53.425 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:53.526 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:53.626 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:53.726 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:53.826 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:53.925 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:54.025 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:54.125 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:54.226 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:54.325 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:54.425 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:54.525 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:54.626 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:54.726 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:54.826 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:54.926 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:55.025 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:55.126 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:55.225 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:55.326 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:55.426 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:55.526 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:55.626 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:55.726 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:55.826 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:55.926 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:56.026 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:56.126 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:56.226 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:56.326 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:56.426 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:56.526 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:56.626 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:56.725 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/10 10:59:56.825 => State=0, M_D=000, M_S=000, ML_D=000, ML_S=000, R_D=000
