2024/06/04 11:22:19.231 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:19.331 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:19.431 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:19.532 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:19.631 => State=3, M_D=047, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:19.731 => State=3, M_D=030, M_S=100, ML_D=047, ML_S=100, R_D=000
2024/06/04 11:22:19.830 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:19.931 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:20.031 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:20.130 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:20.231 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:20.331 => State=3, M_D=058, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:20.431 => State=3, M_D=030, M_S=100, ML_D=058, ML_S=100, R_D=000
2024/06/04 11:22:20.531 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:20.631 => State=3, M_D=059, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:20.731 => State=3, M_D=030, M_S=100, ML_D=059, ML_S=100, R_D=000
2024/06/04 11:22:20.831 => State=3, M_D=060, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:20.931 => State=3, M_D=030, M_S=100, ML_D=060, ML_S=100, R_D=000
2024/06/04 11:22:21.031 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:21.131 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:21.231 => State=3, M_D=051, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:21.331 => State=3, M_D=057, M_S=100, ML_D=051, ML_S=100, R_D=000
2024/06/04 11:22:21.431 => State=3, M_D=030, M_S=100, ML_D=057, ML_S=100, R_D=000
2024/06/04 11:22:21.531 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:21.631 => State=3, M_D=044, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:21.731 => State=3, M_D=055, M_S=100, ML_D=044, ML_S=100, R_D=000
2024/06/04 11:22:21.831 => State=3, M_D=071, M_S=100, ML_D=055, ML_S=100, R_D=000
2024/06/04 11:22:21.931 => State=3, M_D=030, M_S=100, ML_D=071, ML_S=100, R_D=000
2024/06/04 11:22:22.031 => State=3, M_D=040, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:22.130 => State=3, M_D=030, M_S=100, ML_D=040, ML_S=100, R_D=000
2024/06/04 11:22:22.231 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:22.330 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:22.431 => State=3, M_D=052, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:22.531 => State=3, M_D=030, M_S=100, ML_D=052, ML_S=100, R_D=000
2024/06/04 11:22:22.631 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:22.730 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:22.831 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:22.931 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:23.031 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:23.131 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:23.231 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:23.331 => State=3, M_D=042, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:23.431 => State=3, M_D=030, M_S=100, ML_D=042, ML_S=100, R_D=000
2024/06/04 11:22:23.531 => State=3, M_D=049, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:23.631 => State=3, M_D=030, M_S=100, ML_D=049, ML_S=100, R_D=000
2024/06/04 11:22:23.731 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:23.830 => State=3, M_D=052, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:23.931 => State=3, M_D=046, M_S=100, ML_D=052, ML_S=100, R_D=000
2024/06/04 11:22:24.031 => State=3, M_D=030, M_S=100, ML_D=046, ML_S=100, R_D=000
2024/06/04 11:22:24.131 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:24.231 => State=3, M_D=045, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:24.330 => State=3, M_D=030, M_S=100, ML_D=045, ML_S=100, R_D=000
2024/06/04 11:22:24.431 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:24.531 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:24.631 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:24.731 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:24.831 => State=3, M_D=045, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:24.931 => State=3, M_D=043, M_S=100, ML_D=045, ML_S=100, R_D=000
2024/06/04 11:22:25.031 => State=3, M_D=030, M_S=100, ML_D=043, ML_S=100, R_D=000
2024/06/04 11:22:25.131 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:25.231 => State=3, M_D=051, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:25.331 => State=3, M_D=030, M_S=100, ML_D=051, ML_S=100, R_D=000
2024/06/04 11:22:25.431 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:25.531 => State=3, M_D=054, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:25.630 => State=3, M_D=030, M_S=100, ML_D=054, ML_S=100, R_D=000
2024/06/04 11:22:25.731 => State=3, M_D=058, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:25.831 => State=3, M_D=030, M_S=100, ML_D=058, ML_S=100, R_D=000
2024/06/04 11:22:25.930 => State=3, M_D=071, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:26.031 => State=3, M_D=030, M_S=100, ML_D=071, ML_S=100, R_D=000
2024/06/04 11:22:26.131 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:26.230 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:26.331 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:26.431 => State=3, M_D=055, M_S=100, ML_D=030, ML_S=100, R_D=000
2024/06/04 11:22:26.531 => State=3, M_D=066, M_S=100, ML_D=055, ML_S=100, R_D=000
2024/06/04 11:22:26.631 => State=3, M_D=030, M_S=100, ML_D=066, ML_S=100, R_D=000
2024/06/04 11:22:26.731 => State=2, M_D=122, M_S=100, ML_D=030, ML_S=100, R_D=033
2024/06/04 11:22:26.831 => State=3, M_D=130, M_S=100, ML_D=122, ML_S=100, R_D=043
2024/06/04 11:22:26.930 => State=2, M_D=030, M_S=100, ML_D=130, ML_S=100, R_D=039
2024/06/04 11:22:27.031 => State=2, M_D=138, M_S=100, ML_D=030, ML_S=100, R_D=049
2024/06/04 11:22:27.131 => State=3, M_D=063, M_S=100, ML_D=138, ML_S=100, R_D=048
2024/06/04 11:22:27.231 => State=3, M_D=030, M_S=100, ML_D=063, ML_S=100, R_D=043
2024/06/04 11:22:27.331 => State=3, M_D=083, M_S=100, ML_D=030, ML_S=100, R_D=046
2024/06/04 11:22:27.431 => State=3, M_D=123, M_S=100, ML_D=083, ML_S=100, R_D=054
2024/06/04 11:22:27.531 => State=3, M_D=159, M_S=100, ML_D=123, ML_S=100, R_D=065
2024/06/04 11:22:27.631 => State=3, M_D=142, M_S=100, ML_D=159, ML_S=100, R_D=072
2024/06/04 11:22:27.730 => State=3, M_D=142, M_S=100, ML_D=142, ML_S=100, R_D=078
2024/06/04 11:22:27.831 => State=3, M_D=099, M_S=100, ML_D=142, ML_S=100, R_D=079
2024/06/04 11:22:27.931 => State=3, M_D=101, M_S=100, ML_D=099, ML_S=100, R_D=079
2024/06/04 11:22:28.031 => State=3, M_D=080, M_S=100, ML_D=101, ML_S=100, R_D=077
2024/06/04 11:22:28.130 => State=3, M_D=086, M_S=100, ML_D=080, ML_S=100, R_D=076
2024/06/04 11:22:28.231 => State=3, M_D=081, M_S=100, ML_D=086, ML_S=100, R_D=075
2024/06/04 11:22:28.331 => State=3, M_D=100, M_S=100, ML_D=081, ML_S=100, R_D=076
2024/06/04 11:22:28.431 => State=3, M_D=073, M_S=100, ML_D=100, ML_S=100, R_D=074
2024/06/04 11:22:28.530 => State=3, M_D=053, M_S=072, ML_D=073, ML_S=100, R_D=069
2024/06/04 11:22:28.631 => State=2, M_D=222, M_S=061, ML_D=053, ML_S=100, R_D=086
2024/06/04 11:22:28.731 => State=2, M_D=222, M_S=000, ML_D=222, ML_S=100, R_D=101
2024/06/04 11:22:28.831 => State=3, M_D=147, M_S=087, ML_D=222, ML_S=100, R_D=105
2024/06/04 11:22:28.931 => State=3, M_D=140, M_S=100, ML_D=147, ML_S=100, R_D=107
2024/06/04 11:22:29.031 => State=3, M_D=146, M_S=100, ML_D=140, ML_S=100, R_D=110
2024/06/04 11:22:29.131 => State=3, M_D=134, M_S=100, ML_D=146, ML_S=100, R_D=111
2024/06/04 11:22:29.230 => State=3, M_D=144, M_S=062, ML_D=134, ML_S=100, R_D=113
2024/06/04 11:22:29.331 => State=3, M_D=124, M_S=078, ML_D=144, ML_S=100, R_D=112
2024/06/04 11:22:29.431 => State=3, M_D=094, M_S=100, ML_D=124, ML_S=100, R_D=107
2024/06/04 11:22:29.531 => State=3, M_D=129, M_S=058, ML_D=094, ML_S=100, R_D=108
2024/06/04 11:22:29.631 => State=3, M_D=141, M_S=095, ML_D=129, ML_S=100, R_D=110
2024/06/04 11:22:29.731 => State=3, M_D=117, M_S=087, ML_D=141, ML_S=100, R_D=109
2024/06/04 11:22:29.831 => State=3, M_D=090, M_S=100, ML_D=117, ML_S=100, R_D=105
2024/06/04 11:22:29.931 => State=3, M_D=138, M_S=100, ML_D=090, ML_S=100, R_D=107
2024/06/04 11:22:30.031 => State=3, M_D=063, M_S=100, ML_D=138, ML_S=100, R_D=099
2024/06/04 11:22:30.130 => State=3, M_D=072, M_S=100, ML_D=063, ML_S=100, R_D=094
2024/06/04 11:22:30.230 => State=3, M_D=150, M_S=100, ML_D=072, ML_S=100, R_D=099
2024/06/04 11:22:30.331 => State=3, M_D=151, M_S=100, ML_D=150, ML_S=100, R_D=103
2024/06/04 11:22:30.430 => State=2, M_D=030, M_S=100, ML_D=151, ML_S=100, R_D=091
2024/06/04 11:22:30.531 => State=3, M_D=080, M_S=100, ML_D=030, ML_S=100, R_D=088
2024/06/04 11:22:30.631 => State=3, M_D=089, M_S=100, ML_D=080, ML_S=100, R_D=086
2024/06/04 11:22:30.730 => State=3, M_D=138, M_S=100, ML_D=089, ML_S=100, R_D=091
2024/06/04 11:22:30.831 => State=3, M_D=141, M_S=100, ML_D=138, ML_S=100, R_D=095
2024/06/04 11:22:30.931 => State=3, M_D=217, M_S=100, ML_D=141, ML_S=100, R_D=108
2024/06/04 11:22:31.031 => State=3, M_D=136, M_S=100, ML_D=217, ML_S=100, R_D=110
2024/06/04 11:22:31.130 => State=2, M_D=030, M_S=100, ML_D=136, ML_S=100, R_D=098
2024/06/04 11:22:31.231 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=087
2024/06/04 11:22:31.331 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=077
2024/06/04 11:22:31.431 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=069
2024/06/04 11:22:31.531 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=062
2024/06/04 11:22:31.631 => State=2, M_D=118, M_S=100, ML_D=030, ML_S=100, R_D=067
2024/06/04 11:22:31.730 => State=2, M_D=030, M_S=100, ML_D=118, ML_S=100, R_D=060
2024/06/04 11:22:31.830 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=054
2024/06/04 11:22:31.931 => State=3, M_D=046, M_S=100, ML_D=030, ML_S=100, R_D=051
2024/06/04 11:22:32.030 => State=3, M_D=067, M_S=100, ML_D=046, ML_S=100, R_D=051
2024/06/04 11:22:32.131 => State=3, M_D=128, M_S=100, ML_D=067, ML_S=100, R_D=059
2024/06/04 11:22:32.231 => State=2, M_D=030, M_S=100, ML_D=128, ML_S=100, R_D=053
2024/06/04 11:22:32.331 => State=3, M_D=075, M_S=100, ML_D=030, ML_S=100, R_D=054
2024/06/04 11:22:32.430 => State=3, M_D=172, M_S=100, ML_D=075, ML_S=100, R_D=067
2024/06/04 11:22:32.531 => State=3, M_D=139, M_S=100, ML_D=172, ML_S=100, R_D=074
2024/06/04 11:22:32.631 => State=3, M_D=155, M_S=100, ML_D=139, ML_S=100, R_D=082
2024/06/04 11:22:32.731 => State=2, M_D=030, M_S=100, ML_D=155, ML_S=100, R_D=073
2024/06/04 11:22:32.831 => State=3, M_D=030, M_S=100, ML_D=030, ML_S=100, R_D=065
2024/06/04 11:22:32.931 => State=2, M_D=122, M_S=100, ML_D=030, ML_S=100, R_D=070
2024/06/04 11:22:33.030 => State=2, M_D=030, M_S=100, ML_D=122, ML_S=100, R_D=063
