2024/06/11 13:02:31.527 => OpenSerial: Com=11 BaudRate=256000, Success=1
2024/06/11 13:02:31.534 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/11 13:02:31.534 => protocol version = 1, send_recv buffer size = 64
2024/06/11 13:02:31.685 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/11 13:02:31.685 => protocol version = 1, send_recv buffer size = 64
2024/06/11 13:02:31.694 => CRadarProtocolDevice::UpdateVersion: CMDID(0x0000) Success
2024/06/11 13:02:31.694 => GetVersion Return: v1.4.4_32772.0
2024/06/11 13:02:32.547 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/11 13:02:32.547 => protocol version = 1, send_recv buffer size = 64
2024/06/11 13:02:32.706 => CRadarProtocolDevice::OpenCmdMode: CMDID(0x00FF) Success
2024/06/11 13:02:32.706 => protocol version = 1, send_recv buffer size = 64
2024/06/11 13:02:33.245 => CRadarProtocolDevice::SendCommand: CMDID(0x0062) Success
2024/06/11 13:02:33.251 => CRadarProtocolDevice::CloseCmdMode: CMDID(0x00FE) Success
2024/06/11 13:02:33.261 => thread create success, thread handle=0x00000624, id=18044, name=ABDData
2024/06/11 13:02:33.262 => thread information, name=ABDData, tid=18044(0x0000467c)
2024/06/11 13:02:38.091 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:38.191 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:38.291 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:38.391 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:38.491 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:38.591 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:38.691 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:38.791 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:38.891 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:38.993 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:39.091 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:39.191 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:39.291 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:39.390 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:39.490 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:39.591 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:39.691 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:39.791 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:39.891 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:39.990 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:40.090 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:40.190 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:40.290 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:40.390 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:40.490 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:40.590 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:40.691 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:40.790 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:40.890 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:40.990 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:41.091 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:41.191 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:41.291 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:41.390 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:41.491 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:41.591 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:41.691 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:41.791 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:41.891 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:41.990 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:42.090 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:42.191 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:42.291 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:42.390 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:42.490 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:42.590 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:42.691 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:42.790 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:42.890 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:42.991 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:43.090 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:43.190 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:43.290 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:43.390 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:43.490 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:43.591 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:43.690 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:43.791 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:43.890 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:43.991 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:44.090 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:44.190 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:44.290 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:44.390 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:44.490 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:44.590 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:44.690 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:44.790 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:44.890 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:44.990 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:45.090 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:45.191 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:45.291 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:45.391 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:45.491 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:45.591 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:45.691 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:45.791 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:45.891 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:45.991 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:46.091 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:46.191 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:46.291 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:46.391 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:46.491 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:46.591 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:46.690 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:46.790 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:46.890 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
2024/06/11 13:02:46.990 => State=0, M_D=072, M_S=000, ML_D=000, ML_S=000, R_D=000
